city_name,city_latitude,city_longitude
Cache, 37.100050, -89.261470
Cache Lake, 41.644480, -88.011170
Cadiz, 37.579220, -88.226420
Cadwell, 39.681140, -88.521720
Cahokia, 38.570880, -90.190110
Cairo, 37.005330, -89.176460
Cairo Junction, 37.040880, -89.191740
Caldwell, 40.642260, -89.515650
Caledonia, 42.369460, -88.892600
Calhoun, 38.650330, -88.043650
Calico Island, 38.210330, -90.339010
California Park, 41.964480, -87.701450
Calumet, 41.731700, -87.551430
Calumet City, 41.615590, -87.529490
Calumet Heights, 41.730030, -87.579210
Calumet Park, 41.662810, -87.660600
Calvin, 38.208100, -88.018640
Camargo, 39.800310, -88.163930
Cambon, 37.899490, -88.998130
Cambria, 37.781440, -89.119250
Cambridge, 41.303650, -90.192900
Cambridge Place, 41.631110, -88.166110
Camden, 38.973660, -90.463450
Camden, 40.153660, -90.770690
Cameron, 40.888930, -90.517350
Camp Algonquin, 42.183080, -88.267860
Camp Ground, 38.338940, -88.835060
Camp Grove, 41.078930, -89.633150
Camp Logan, 42.464190, -87.817020
Camp Point, 40.039210, -91.069300
Camp Travis, 38.660050, -88.331430
Campbell, 40.191150, -87.579460
Campbell, 39.395870, -88.211150
Campbell, 38.358940, -88.463660
Campbell Hill, 37.930050, -89.548990
Campbells Island, 41.541980, -90.429300
Campbells Island, 39.090330, -90.675960
Campton, 37.928380, -89.802050
Campton Pines, 41.917530, -88.388690
Campus, 41.023370, -88.306170
Campustown, 40.110150, -88.232190
Canal Trustees, 41.900310, -87.625050
Canalport, 41.843920, -87.670610
Canaryville, 41.814760, -87.640330
Candlewick Lake, 42.350020, -88.859890
Canton, 40.558090, -90.035120
Canton Crossing, 41.561110, -88.193330
Cantrall, 39.937830, -89.675940
Canyon Ridge, 42.197240, -89.052880
Capitol Oaks, 38.590050, -89.968440
Capri Village, 42.141690, -88.029800
Capron, 42.399740, -88.740380
Carbon, 38.593940, -89.939270
Carbon Cliff, 41.494760, -90.390680
Carbon Hill, 41.296980, -88.300060
Carbondale, 37.727270, -89.216750
Cardiff, 41.051700, -88.287280
Cardinal Court, 40.517260, -88.999240
Carillon, 41.634720, -88.133610
Carl Sandburg Village, 41.907250, -87.632280
Carle Springs, 40.253650, -88.967020
Carlinville, 39.279770, -89.881770
Carlock, 40.582260, -89.132030
Carlsburg, 39.083380, -89.722310
Carlye Subdivision, 42.140000, -87.870560
Carlyle, 38.610330, -89.372580
Carman, 40.740600, -91.059590
Carmi, 38.090880, -88.158650
Carol Stream, 41.912530, -88.134790
Carpenter, 38.891990, -89.894270
Carpenters Addition, 41.885870, -87.651440
Carpentersville, 42.121140, -88.257860
Carr Island, 41.461140, -90.554580
Carriage Lane Estates, 41.095590, -88.823960
Carrier Mills, 37.684220, -88.632830
